,author,updated_at,like_count,text,public
0,@fameikki564,2025-04-12T09:38:10Z,0,Quality buildnya gmn ? Isunya masih sering error bagian dalemnya,True
1,@gakjelaschanel5252,2025-04-11T19:09:37Z,0,"Kira kira nih laptop rekomen gak, buat maen Wuthering waves?",True
2,@VAPOMusic-m4w,2025-04-11T17:32:28Z,0,"mas David minta saran laptop 11-15 juta buat gaming, coding, nugas kuliah, sama editing dong",True
3,@FEBRIANSURURI112,2025-04-11T11:09:21Z,0,"Bang ko kalo di e-commerce 7jt itu buat yg layar IPS, kalo layar OLED diatas 10jt. Rekomendasi link yg dapet layar OLED harga 7jtan dong?",True
4,@mbintangas,2025-04-11T09:05:53Z,0,Mau scalenya😢,True
5,@cshokokay8620,2025-04-11T05:04:39Z,0,bingung hype r3 atau tecno m t1,True
6,@radit-s6n,2025-04-11T02:37:02Z,0,"Bang mending axio hype r3 
Atau tekno t1",True
7,@iphonewahyu3075,2025-04-10T16:45:20Z,0,"Jujur saya ga pernah punya laptop merek lokal. Secara penglihatan secara cepet, kayaknya menarik. setelah dipikir2, apakah bs tahan lama 5-6 taun? Kekuatan flexible layarnya, keyboardnya jg gmn.. Memorynya gmn.. 
Semuanya ttg daya tahan.. Masih skeptis sih.. 
Tp tetep di appreciate loh.. Makasih sudah hadirkan laptop berkualitas yg murah",True
8,@Lisha-q8q,2025-04-10T07:15:42Z,0,Bahas AIO PC donk,True
9,@kisaragi6127,2025-04-10T02:49:03Z,0,Bg boleh req klo game yg di coba ditambah lagi seperti wuthering wave?,True
10,@yosilap4693,2025-04-10T01:57:11Z,0,"Yg impor kan byr cukainya lumayan tuh, makanya mehong g karuan. Pdhl kalo di negaranya sdr sana, hrgnya jauuuuh lbh murah. 

Ak beli hp samsung di Jepang, hrgnya aja jauuuh lbh murah. Sepupuku bli di Korea, jauuuuuhhhh lbh murah. Mrk aj kaget wkt kutunjukin hrg jual di Indo. 

Ya, itulah konoha 😅",True
11,@JyWave,2025-04-08T22:42:25Z,0,yang dilempar lempar ngeri ngeri sedap juga nih,True
