,author,updated_at,like_count,text,public
0,@dylanraiza,2025-04-12T06:23:33Z,0,suhu is back,True
1,@Nitareview,2025-04-12T01:58:26Z,0,Motorolla hp andalan zaman sekolah😊,True
2,@agussusanto4811,2025-04-12T01:20:36Z,0,"Vidio nya bagus, stabil",True
3,@aan_fnh,2025-04-11T17:08:33Z,0,Ternyata gak ada aplikasi bawaan untuk gallery. Harus pakai google gallery atau google photo.😅,True
4,@annuriit8095,2025-04-11T16:14:11Z,0,Axioo nya Axioo apa itu si David,True
5,@annuriit8095,2025-04-11T16:08:42Z,0,Lo bayangin.. lagi main ML ketemu David gadget in😅😅😅😅,True
6,@DamahArdiAnta-r5q,2025-04-11T11:39:08Z,0,Kecerahan nya berapa nits??  Untuk ojol cocok tidak?,True
7,@sartolempung1790,2025-04-11T09:19:29Z,0,"HP ini kn hybrid,  bisa dikasih adapter dual SIM gk sih?? soalnya punya 2 nomor & MicroSD di hp lamaku",True
8,@aleenci.paramount,2025-04-11T01:13:49Z,0,fitur smart connectnya asik buat ngoding...,True
9,@hoarymi7113,2025-04-10T15:19:28Z,0,Servis center dan suku cadang ada gak....?,True
10,@Asalmancing402,2025-04-09T14:05:55Z,0,"4 th yg lalu moto g...lupa....jatuh....2 thn lalu sampai skrng nonton pake motorola g....brp gk tau saya beli hp yg selalu beda daripada kebanyakn orang pakai😊....tadi di extra saudi say liat hp ini ada juga yg layar curve harganya kisaran 4,5 bagus tampilanya",True
11,@eci2148,2025-04-08T17:34:06Z,0,"HELIO G99 DAN KELUARGANYA 

hanya worth it selama 3 bulan saja dari baru beli

lepas itu Frame Drop, rekam vidio full lag patah-patah...
dll",True
12,@AjissRio,2025-04-08T14:46:09Z,0,"Sejarah Motorola, saya pernah baca Motorola pernah beli saham Apple supaya tidak bangkrut.😅",True
13,@HajiJegres,2025-04-08T08:47:25Z,0,moto g85 di mna beli nya,True
14,@kokushibo865,2025-04-08T06:00:45Z,0,"nah ini review yg objektif, tidak melebih-lebihkan.
soalnya kalau brand lain diharga segini dengan spek yg didapat, pasti bakal dapet kritikan, termasuk Samsung.
mungkin saat ini motorola sedang merangkul reviewer supaya bikin review excited dengan moto g45",True
15,@r7_sutan711,2025-04-07T11:48:31Z,0,G85 ngk masuk indo ya mas,True
16,@rofiuddin1536,2025-04-07T05:16:47Z,0,Iklan Samsung,True
17,@HaHaHiChannel-v8o,2025-04-06T12:17:33Z,0,"Moto g 45 ini Vs Poco M6pro pilih mana ya??
Utamanya kalo kalo pas photo & video malam?",True
18,@anshoryrifqy,2025-04-06T09:32:01Z,1,Izin bertanya apakah hp ini perlu anti gores atau pelindung layar ?,True
19,@koprokchannel9063,2025-04-06T01:52:26Z,0,Ud ada tempered glassnya blm tuch bang?,True
20,@mjrbiner,2025-04-05T09:24:38Z,0,W nungguin motorola Entry Levelnya😊,True
21,@FaqihAusi,2025-04-05T01:28:43Z,0,Bang David di jateng ada gak bang,True
22,@RisqunaGg,2025-04-05T00:18:48Z,0,Motorola g⁴⁵ motorola gas.....,True
23,@TiaraKasih-b3m,2025-04-04T22:00:46Z,0,"Aku pake Motorola g15, bisa dipake di Indonesia gak ya",True
24,@Toto-sm4ji,2025-04-04T14:17:40Z,0,kak bisa dark mode ga ya G45 ini??,True
25,@hi_agung,2025-04-04T06:59:41Z,0,Harga 2JT incar kamera ? Fix si Motorola ini idaman njir di banding kingfinix … pengecualian pixel second yg banyak issue matot 😅,True
26,@muhammadihsanul6465,2025-04-04T03:08:35Z,0,Apakah Moto G45 5G support koneksi via kabel lan?,True
27,@Lionel_R21,2025-04-04T02:46:13Z,1,bro ada yg udh beli dan pemain fanny? gmn bang refreshrate nya aman kah?  thanks,True
28,@hanifibadur,2025-04-03T23:36:02Z,1,"15:30 setelah update android 15 main genshin langsung stabil di 60 fps sekarang (set mode turbo enable dari moto gaming), gokil",True
29,@nurulfikri7978,2025-04-03T09:54:12Z,0,smart connect itu hanya bisa motorola ya? bisa di IOS ngga?,True
30,@METBB33,2025-04-03T03:03:10Z,0,G untuk GAY,True
31,@daffanadidanuharja4007,2025-04-03T00:10:24Z,0,kalo dibandingin sama tecno camon 40 lebih worth it mana bg?,True
32,@myroowieds7978,2025-04-02T19:31:48Z,0,"Lumayan tu smart connectnya bisa dipake untuk streamer game newbie, mainnya di game, mirror di pc, lifestreaming pake obs",True
